intent_id,intent_id_source,bar_index,timestamp_ms,snapshot_version,symbol,side,stage,decision,reason,qty_before,qty_after
genesis_ema_10_30_GENESIS-BTC_BUY_1609460940000_30,generated,29,1609460940000,30,GENESIS-BTC,BUY,E5_FILL,FILLED,"price=50639.66,fee=0.000187",0.187,0.187
genesis_ema_10_30_GENESIS-BTC_SELL_1609461900000_46,generated,45,1609461900000,46,GENESIS-BTC,SELL,E5_FILL,FILLED,"price=50352.78,fee=0.000010",0.010,0.010
